Date,Barnyard,Total_mixed_rations,Refusals,Feed_Intake_lb,Feed_intake_kg,Dry_matter,N_content,C_content,P_content,NDF_content,N_intake,P_intake,Notes
2010-09-21,1,142,0.0908,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.42E-02,NA
2010-09-21,2,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-21,3,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-21,4,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-21,5,142,0.2088,142,64.3,38.52,2.38,39.67,0.380,NA,5.89E-01,9.41E-02,NA
2010-09-21,6,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-21,7,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-21,8,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-21,9,142,0.9625,141,64.0,38.52,2.38,39.67,0.380,NA,5.86E-01,9.36E-02,NA
2010-09-22,1,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-22,2,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-22,3,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-22,4,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-22,5,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-22,6,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-22,7,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-22,8,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-22,9,142,0.0000,142,64.4,38.52,2.38,39.67,0.380,NA,5.90E-01,9.43E-02,NA
2010-09-23,1,142,0.0000,142,64.4,39.50,2.33,37.81,0.380,NA,5.93E-01,9.67E-02,NA
2010-09-23,2,142,0.0000,142,64.4,39.50,2.33,37.81,0.380,NA,5.93E-01,9.67E-02,NA
2010-09-23,3,142,0.0000,142,64.4,39.50,2.33,37.81,0.380,NA,5.93E-01,9.67E-02,NA
2010-09-23,4,142,0.0000,142,64.4,39.50,2.33,37.81,0.380,NA,5.93E-01,9.67E-02,NA
2010-09-23,5,142,0.0000,142,64.4,39.50,2.33,37.81,0.380,NA,5.93E-01,9.67E-02,NA
2010-09-23,6,142,0.0000,142,64.4,39.50,2.33,37.81,0.380,NA,5.93E-01,9.67E-02,NA
2010-09-23,7,142,0.0000,142,64.4,39.50,2.33,37.81,0.380,NA,5.93E-01,9.67E-02,NA
2010-09-23,8,142,0.0000,142,64.4,39.50,2.33,37.81,0.380,NA,5.93E-01,9.67E-02,NA
2010-09-23,9,142,0.0000,142,64.4,39.50,2.33,37.81,0.380,NA,5.93E-01,9.67E-02,NA
2010-09-24,1,142,0.0000,142,64.4,40.61,2.48,40.16,0.380,NA,6.49E-01,9.94E-02,NA
2010-09-24,2,142,0.0000,142,64.4,40.61,2.48,40.16,0.380,NA,6.49E-01,9.94E-02,NA
2010-09-24,3,142,0.0000,142,64.4,40.61,2.48,40.16,0.380,NA,6.49E-01,9.94E-02,NA
2010-09-24,4,142,0.0000,142,64.4,40.61,2.48,40.16,0.380,NA,6.49E-01,9.94E-02,NA
2010-09-24,5,142,0.0000,142,64.4,40.61,2.48,40.16,0.380,NA,6.49E-01,9.94E-02,NA
2010-09-24,6,142,0.0000,142,64.4,40.61,2.48,40.16,0.380,NA,6.49E-01,9.94E-02,NA
2010-09-24,7,142,0.0000,142,64.4,40.61,2.48,40.16,0.380,NA,6.49E-01,9.94E-02,NA
2010-09-24,8,142,0.0000,142,64.4,40.61,2.48,40.16,0.380,NA,6.49E-01,9.94E-02,NA
2010-09-24,9,142,0.0000,142,64.4,40.61,2.48,40.16,0.380,NA,6.49E-01,9.94E-02,NA
2010-09-25,1,142,0.0000,142,64.4,38.49,2.22,41.84,0.380,NA,5.49E-01,9.42E-02,NA
2010-09-25,2,142,0.0000,142,64.4,38.49,2.22,41.84,0.380,NA,5.49E-01,9.42E-02,NA
2010-09-25,3,142,0.0000,142,64.4,38.49,2.22,41.84,0.380,NA,5.49E-01,9.42E-02,NA
2010-09-25,4,142,0.0000,142,64.4,38.49,2.22,41.84,0.380,NA,5.49E-01,9.42E-02,NA
2010-09-25,5,142,0.0000,142,64.4,38.49,2.22,41.84,0.380,NA,5.49E-01,9.42E-02,NA
2010-09-25,6,142,0.0000,142,64.4,38.49,2.22,41.84,0.380,NA,5.49E-01,9.42E-02,NA
2010-09-25,7,142,0.0000,142,64.4,38.49,2.22,41.84,0.380,NA,5.49E-01,9.42E-02,NA
2010-09-25,8,142,0.0000,142,64.4,38.49,2.22,41.84,0.380,NA,5.49E-01,9.42E-02,NA
2010-09-25,9,142,0.0000,142,64.4,38.49,2.22,41.84,0.380,NA,5.49E-01,9.42E-02,NA
2010-09-26,1,142,0.0000,142,64.4,40.04,2.26,41.72,0.380,NA,5.83E-01,9.80E-02,NA
2010-09-26,2,142,0.0000,142,64.4,40.04,2.26,41.72,0.380,NA,5.83E-01,9.80E-02,NA
2010-09-26,3,142,0.0000,142,64.4,40.04,2.26,41.72,0.380,NA,5.83E-01,9.80E-02,NA
2010-09-26,4,142,0.0000,142,64.4,40.04,2.26,41.72,0.380,NA,5.83E-01,9.80E-02,NA
2010-09-26,5,142,5.0848,137,62.1,40.04,2.26,41.72,0.380,NA,5.62E-01,9.45E-02,NA
2010-09-26,6,142,0.0000,142,64.4,40.04,2.26,41.72,0.380,NA,5.83E-01,9.80E-02,NA
2010-09-26,7,142,0.0000,142,64.4,40.04,2.26,41.72,0.380,NA,5.83E-01,9.80E-02,NA
2010-09-26,8,142,0.0000,142,64.4,40.04,2.26,41.72,0.380,NA,5.83E-01,9.80E-02,NA
2010-09-26,9,142,0.0000,142,64.4,40.04,2.26,41.72,0.380,NA,5.83E-01,9.80E-02,NA
2010-09-27,1,142,1.2621,141,63.8,37.15,2.49,40.53,0.380,NA,5.91E-01,9.01E-02,NA
2010-09-27,2,142,0.0000,142,64.4,37.15,2.49,40.53,0.380,NA,5.97E-01,9.09E-02,NA
2010-09-27,3,142,0.3087,142,64.3,37.15,2.49,40.53,0.380,NA,5.95E-01,9.07E-02,NA
2010-09-27,4,142,0.1271,142,64.3,37.15,2.49,40.53,0.380,NA,5.96E-01,9.08E-02,NA
2010-09-27,5,142,0.0000,142,64.4,37.15,2.49,40.53,0.380,NA,5.97E-01,9.09E-02,NA
2010-09-27,6,142,0.5720,141,64.1,37.15,2.49,40.53,0.380,NA,5.94E-01,9.05E-02,NA
2010-09-27,7,142,0.0000,142,64.4,37.15,2.49,40.53,0.380,NA,5.97E-01,9.09E-02,NA
2010-09-27,8,142,0.2270,142,64.3,37.15,2.49,40.53,0.380,NA,5.96E-01,9.08E-02,NA
2010-09-27,9,142,0.0000,142,64.4,37.15,2.49,40.53,0.380,NA,5.97E-01,9.09E-02,NA
2010-09-28,1,142,0.0000,142,64.4,35.67,2.45,42.59,0.380,NA,5.63E-01,8.73E-02,NA
2010-09-28,2,142,0.0000,142,64.4,35.67,2.45,42.59,0.380,NA,5.63E-01,8.73E-02,NA
2010-09-28,3,142,0.0000,142,64.4,35.67,2.45,42.59,0.380,NA,5.63E-01,8.73E-02,NA
2010-09-28,4,142,0.0000,142,64.4,35.67,2.45,42.59,0.380,NA,5.63E-01,8.73E-02,NA
2010-09-28,5,142,0.0000,142,64.4,35.67,2.45,42.59,0.380,NA,5.63E-01,8.73E-02,NA
2010-09-28,6,142,0.0000,142,64.4,35.67,2.45,42.59,0.380,NA,5.63E-01,8.73E-02,NA
2010-09-28,7,142,0.0000,142,64.4,35.67,2.45,42.59,0.380,NA,5.63E-01,8.73E-02,NA
2010-09-28,8,142,0.0000,142,64.4,35.67,2.45,42.59,0.380,NA,5.63E-01,8.73E-02,NA
2010-09-28,9,142,0.0000,142,64.4,35.67,2.45,42.59,0.380,NA,5.63E-01,8.73E-02,NA
2010-09-29,1,142,0.0726,142,64.4,38.19,2.11,38.16,0.380,NA,5.19E-01,9.34E-02,NA
2010-09-29,2,142,0.5720,141,64.1,38.19,2.11,38.16,0.380,NA,5.17E-01,9.31E-02,NA
2010-09-29,3,142,2.4244,140,63.3,38.19,2.11,38.16,0.380,NA,5.10E-01,9.19E-02,NA
2010-09-29,4,142,0.7627,141,64.1,38.19,2.11,38.16,0.380,NA,5.16E-01,9.30E-02,NA
2010-09-29,5,142,0.8989,141,64.0,38.19,2.11,38.16,0.380,NA,5.16E-01,9.29E-02,NA
2010-09-29,6,142,0.6992,141,64.1,38.19,2.11,38.16,0.380,NA,5.17E-01,9.30E-02,NA
