Date,Dry_matter_60,Dry_matter_105,Total_N,Total_C,NDF,ADF,NDIN,ADIN,Ash
2010-09-22,38.52,92.53,2.38,NA,39.67,25.37,0.42,0.17,7.35
2010-09-23,39.50,92.06,2.33,NA,37.81,23.84,0.43,0.19,7.25
2010-09-24,40.61,91.94,2.48,NA,40.16,25.48,0.45,0.16,7.54
2010-09-25,38.49,93.04,2.22,NA,41.84,23.89,0.46,0.14,7.20
2010-09-26,40.04,93.70,2.26,NA,41.72,22.59,0.45,0.15,7.00
2010-09-27,37.15,92.28,2.49,NA,40.53,27.55,0.45,0.16,7.80
2010-09-28,35.67,93.47,2.45,NA,42.59,26.85,0.51,0.20,7.99
2010-09-29,38.19,93.77,2.11,NA,38.16,24.86,0.36,0.15,7.13
2010-09-30,37.80,92.67,2.26,NA,38.20,27.70,0.36,0.19,8.76
2010-10-01,36.93,93.21,2.41,NA,38.29,27.93,0.41,0.24,7.69
2010-10-02,37.25,93.48,2.33,NA,41.09,29.41,0.44,0.24,8.32
2010-10-03,37.60,92.39,2.24,NA,40.28,26.63,0.48,0.18,8.08
2010-10-04,35.61,92.60,2.44,NA,39.87,27.14,0.48,0.21,7.73
2010-10-05,41.83,92.40,2.24,NA,40.15,26.91,0.40,0.18,7.53
2010-10-06,44.97,92.81,2.30,NA,39.72,25.89,0.45,0.17,7.31
2010-10-07,41.04,93.59,2.34,NA,39.65,26.68,0.45,0.22,7.28
2010-10-08,41.41,91.67,2.25,NA,38.92,25.46,0.39,0.16,6.99
2010-10-09,42.21,91.78,2.23,NA,38.87,25.62,0.39,0.22,7.17
2010-10-10,41.57,92.85,2.24,NA,39.22,25.63,0.40,0.19,7.04
2010-10-11,43.60,92.30,2.19,NA,40.27,26.19,0.43,0.21,6.99
2010-10-12,40.65,92.37,2.21,NA,39.22,22.55,0.39,0.11,7.01
2010-10-13,42.25,92.36,2.21,NA,39.91,23.17,0.40,0.11,6.97
2010-10-14,42.84,91.71,2.22,NA,39.80,22.63,0.43,0.12,6.92
2010-10-15,38.50,91.96,2.27,NA,38.90,22.16,0.43,0.11,7.20
2010-10-16,42.55,92.88,2.35,NA,39.28,22.90,0.44,0.13,7.41
2010-10-17,41.04,91.39,2.19,NA,37.13,22.44,0.42,0.15,6.78
2010-10-18,41.77,92.78,2.17,NA,41.87,22.81,0.46,0.14,7.05
2010-10-19,42.30,91.96,2.34,NA,39.24,24.37,0.45,0.18,7.29
2010-10-20,39.48,92.44,2.31,NA,41.02,24.16,0.46,0.18,7.13
2010-10-21,41.97,91.65,2.00,NA,40.75,21.79,0.42,0.12,6.38
2010-10-22,38.81,92.32,2.31,NA,41.65,23.87,0.51,0.17,7.00
2010-10-23,37.36,92.68,1.97,NA,41.49,22.61,0.40,0.15,6.77
2010-10-24,37.18,92.30,1.79,NA,38.32,20.43,0.35,0.11,6.20
2011-05-25,39.13,91.24,1.73,43.69,57.00,33.31,0.51,0.14,6.99
2011-05-26,42.88,91.18,1.67,43.21,54.28,30.87,0.45,0.12,7.15
2011-05-27,44.48,92.42,1.92,43.66,52.69,32.93,0.51,0.14,7.32
2011-05-28,44.27,91.07,1.87,43.55,53.49,33.68,0.51,0.16,7.10
2011-05-29,42.05,91.24,1.74,43.76,54.79,34.28,0.48,0.15,6.88
2011-05-30,39.94,90.04,1.82,42.89,52.67,31.62,0.58,0.18,6.87
2011-05-31,43.91,90.57,1.87,43.19,52.97,31.67,0.47,0.15,7.14
2011-06-01,46.34,90.37,1.94,43.19,52.88,31.82,0.44,0.14,7.24
2011-06-02,44.85,91.13,1.92,43.41,54.13,33.90,0.43,0.14,7.32
2011-06-03,44.91,90.73,1.87,43.05,53.59,31.97,0.49,0.15,7.14
